1,A,2025-02-03
2,A,2024-11-18
3,F,2024-10-27
4,B,2025-01-16
5,A,2024-09-20
6,A,2024-09-20
7,D,2025-05-12
8,F,2024-11-23
9,F,2024-08-26
10,D,2024-06-17
11,F,2025-04-25
12,B,2025-03-17
13,C,2025-05-03
14,A,2024-07-07
15,D,2024-10-15
16,C,2025-05-13
17,F,2024-09-17
18,C,2024-12-26
19,F,2024-11-10
20,D,2025-04-03
21,D,2024-06-20
22,F,2025-04-11
23,F,2024-11-09
24,A,2025-05-19
25,C,2024-06-30
26,D,2025-04-01
27,C,2024-11-10
28,F,2025-03-14
29,A,2024-09-19
30,C,2025-02-22
31,D,2025-01-13
32,D,2024-07-02
33,A,2025-03-15
34,C,2024-12-01
35,D,2025-03-23
36,F,2025-02-11
37,F,2024-06-01
38,F,2024-09-30
39,C,2025-04-04
40,C,2025-01-23
41,C,2024-08-09
42,F,2025-03-24
43,C,2024-11-17
44,C,2025-02-05
45,B,2024-12-15
46,B,2025-05-22
47,A,2024-09-06
48,F,2024-09-10
49,C,2024-06-01
50,D,2024-12-21
51,F,2024-11-21
52,D,2024-05-26
53,F,2025-05-03
54,F,2024-07-17
55,C,2024-09-08
56,F,2024-07-16
57,F,2024-05-27
58,D,2024-07-06
59,D,2024-11-24
60,C,2024-07-08
61,B,2025-01-03
62,C,2025-04-06
63,D,2024-07-29
64,A,2024-10-01
65,C,2024-05-30
66,B,2025-03-13
67,A,2024-08-25
68,A,2025-02-26
69,D,2025-02-21
70,D,2024-10-13
71,B,2025-05-24
72,C,2025-04-19
73,F,2024-07-30
74,A,2024-06-03
75,F,2024-09-13
76,C,2025-01-21
77,A,2024-11-14
78,F,2024-11-14
79,A,2024-09-04
80,C,2024-10-14
81,A,2025-05-03
82,C,2024-11-26
83,F,2024-09-17
84,D,2024-10-27
85,D,2025-03-20
86,A,2024-09-12
87,C,2025-03-21
88,D,2025-03-19
89,D,2024-08-01
90,C,2024-06-30
91,A,2024-06-21
92,A,2024-06-04
93,C,2024-06-14
94,A,2024-06-22
95,C,2024-06-13
96,D,2025-04-11
97,C,2025-04-21
98,D,2024-08-24
99,A,2024-10-23
100,A,2024-08-15
101,D,2024-12-10
102,D,2024-05-24
103,B,2024-08-12
104,B,2024-07-08
105,A,2024-12-02
106,C,2025-03-23
107,F,2024-11-03
108,B,2024-08-31
109,A,2024-11-30
110,C,2024-11-05
111,C,2025-01-11
112,B,2024-12-18
113,C,2024-12-05
114,B,2025-03-11
115,D,2024-10-27
116,F,2024-10-01
117,A,2025-02-07
118,A,2024-09-28
119,C,2024-09-18
120,F,2025-02-23
121,D,2025-03-27
122,F,2024-12-20
123,B,2024-05-26
124,B,2024-12-12
125,D,2024-10-08
126,D,2024-06-28
127,B,2024-11-05
